recipe_name,ingredients_raw,steps,love_count,url,category,total_ingredients,ingredients_cleaned,total_steps
ikan teri telur,1/4 ikan teri--2 buah telur--4 siung bawang merah--3 siung bawang putih--5 buah cabe (bisa disesuaikan dengan selera)--garam--merica--,"1) haluskan bawang merah dan bawang putih, tambahkan garam
2) potong kecil-kecil cabe
3) kocok telur
4) masukan ikan teri, bawang merah dan putih yang telah dihaluskan, cabe yang telah dipotong-potong, dan merica ke mangkuk telur yang telah dikocok. aduk hingga rata
5) panaskan minyak
6) goreng hingga kering kecoklatan
7) tiriskan dan ikan teri telur siap untuk dihidangkan",4,https://cookpad.com/id/resep/4063305-ikan-teri-telur-simpel,telur,7,"ikan teri , telur , bawang merah , bawang putih , cabe , garam , merica",7
gudeg tetelan telor tahu,1/4 nangka muda (sy beli sudah dipotong2)--3 telor sesuai selera--tahu putih besar (sy ambil 1/4 bgn)lalu dipotong menjadi 4 bgn--tahu digoreng sebentar--4 lembar daun jeruk--1 tangkai sereh geprek--2 daun salam--sedikit lengkuas geprek--4 cabe rawit merah sesuai selera--penyedap--sedikit kecap manis--3 gula merah--garam--1 bungkus santan kara--bumbu yang dihaluskan:--5 bawang merah--3 bawang putih--3 butir kemiri--sedikit ketumbar--,"1) tetelan dicuci, nangka dipotong kecil2 lalu dicuci.
2) siapkan rice cooker (maaf kl sy pakai rice cooker biar cepat matang kl pakai panci juga bisa sesuai ibu inginkan) lalu masukan tetelan, nangka, bumbu yg dihaluskan,sereh, salam dan daun jeruk,gula merah dan diberi air lalu tutup.
3) setelah kira2 semua sudah empuk lalu diberi santan kara,garam dan penyedap rasa lalu tutup kembali
4) setelah kira2 semua sudah pas rasanya lalu di beri cabe rawit sambil diaduk beri sedikit kecap manis. kl semua rasa benar2 sudah mantap berarti gudeg siap di santap.",4,https://cookpad.com/id/resep/4068389-gudeg-tetelan-telor-dan-tahu-sederhana,telur,19,"nangka muda dipotong , telor , tahu putih ambil bgn dipotong bgn , tahu digoreng sebentar , daun jeruk , serai , daun salam , lengkuas , cabe rawit merah , penyedap , kecap manis , gula merah , garam , santan kara , bumbu dihaluskan , bawang merah , bawang putih , kemiri , ketumbar",4
beef steak marinated in pear,300 gr daging sapi (sy pake striploin)--1 buah pear--5 siung bawang putih--2 sdm madu (boleh skip)--garam--lada hitam--10 gr butter (boleh skip)--minyak goreng--,"1) tusuk2 daging menggunakan garpu
2) kupas pear, buang tengahnya. blender bersama bawang putih, madu, lada hitam dan sedikit garam
3) rendam daging di campuran saus pear, diamkan di kulkas minimal 30 menit
4) panaskan wajan dan sedikit minyak, panggang daging. untuk medium-done 5 menit masing2 sisi, untuk well-done 10 menit masing2 sisi (kira2 ya..)
5) untuk sisa saus pear : didihkan saus pear bersama minyak bekas menggoreng daging. tambahkan garam bila perlu. sajikan bersama daging",4,https://cookpad.com/id/resep/4012493-beef-steak-marinated-in-pear,sapi,8,"daging sapi pake striploin , pear , bawang putih , madu , garam , lada hitam , butter , minyak goreng",5
ca kangkung sapi kuah kental,"1 ikat kangkung (potong per 3 cm)--50 gram daging sapi--3 butir jamur shitake, potong sesuai selera--1 buah tomat merah (dibagi 6 potong)--4 siung bawang putih--3 siung bawang merah--2 tangkai cabe merah (aku gak pake cabe karena suami gak bisa makan pedas)--3 sdm tepung maizena--secukupnya garam--secukupnya minyak goreng--secukupnya air--","1) rebus daging hingga matang, lalu angkat sebentar dan potong-potong sesuai selera.
2) bawang putih geprek cincang, bawang merah iris halus. tumis bawang dalam wajan hingga harum.
3) tambahkan air agak banyak, lalu masukkan daging yang sudah dipotong, jamur shitake, dan tomat merah. air sisa rebusan daging pun tuang saja ke wajan.
4) tambahkan garam, tes rasa. (tidak perlu tambahan saus tiram karena sudah menggunakan jamur shitake)
5) encerkan tepung maizena dengan air di mangkok kecil. ketika air masih mendidih (ada gelembung bola), masukkan adonan maizena, tunggu sesaat hingga adonan mengental. lalu aduk rata.
6) note: adonan maizena harus kena air mendidih, jika tidak, maka tidak mau mengental.
7) terakhir: setelah air mengental, masukkan segera kangkung ke dalam wajan, aduk cepat. setelah semua merata, langsung angkat masakan dan tuang ke wajah saji.
8) jangan menunggu terlalu lama, langsung sajikan dan santap!
9) note: kangkung tidak perlu dimasak terlalu lama karena karakternya mudah matang. selain itu kangkung perlu dimasak kilat untuk menjaga warna tetap hijau cerah dan segar.",4,https://cookpad.com/id/resep/4024885-ca-kangkung-sapi-kuah-kental,sapi,11,"kangkung potong , daging sapi , jamur shitake , potong , tomat merah dibagi potong , bawang putih , bawang merah , tangkai cabe merah pake cabe suami makan pedas , tepung maizena , garam , minyak goreng , air",9
daging sapi masak oregano,"250 g daging sapi, potong dadu,--1 sdt merica bubuk--100 g tepung (75g tepung beras : 25g tepung tapioka)--1 buah wortel, kupas dan iris tipis--1 bonggol kembang kol, ukuran kecil, ambil kuntumnya--1 buah bawang bombay, potong2--3 buah bawang putih, cincang kasar--bumbu :--2 sdm saos tomat--1/2 sdt pala bubuk--1/2 sdt merica bubuk--1/2 sdt bubuk oregano--secukupnya garam--250 ml air kaldu atau bisa ditambah--","1) cuci daging hingga bersih.
2) taburi daging dengan merica bubuk. ratakan.
3) tambahkan tepung dan aduk2 hingga rata. diamkan sekitar 30 menit.
4) panaskan sedikit minyak, goreng daging berselimut tepung hingga kekuningan. saya tidak suka oily, jadi cuma pakai 2 sdm minyak.
5) setelah selesai, angkat dan tiriskan.
6) di penggorengan bekas daging, tumis bawang putih hingga harum lanjutkan dengan bawang bombay. tunggu hingga layu.
7) masukkan daging, wortel dan kembang kol.
8) beri air kaldu, masak hingga empuknya pas.
9) selagi menunggu masak, campurkan semua bumbu ditempat terpisah, bisa diberi sedikit air atau kaldu supaya mudah dituang ke penggorengan.
10) koreksi rasa.
11) angkat jika sayur dan daging sudah matang dan empuknya pas.
12) sajikan dengan tambahan sedikit bubuk oregano.",4,https://cookpad.com/id/resep/3870388-daging-sapi-masak-oregano,sapi,14,"daging sapi , potong dadu , merica bubuk , tepung tepung beras tepung tapioka , wortel , kupas tipis , bonggol kembang kol , ambil kuntumnya , bawang bombai , potong , bawang putih , cincang kasar , bumbu , saos tomat , pala , merica bubuk , bubuk oregano , garam , air kaldu ditambah",12
somay ayam pangsit,"1/4 ayam--100 gram sagu/tapioka/kanji--2 buah wortel di potong dadu--1 butir telur ayam kocok lepas--2 batang daun bawang iris halus--1/2 buah bawang bombay iris halus--1 sdm saos tiram--1 sdm minyak wijen--secukupnya garam, penyedap rasa--","1) campur smua bahan jadi satu
2) lalu siapkan kukusan yg sudah di olesi minya sayur tipis""
3) ambil selembar kulit pangsit lalu olesin sdkit minyak lalu beri isisan lipat taro di kukusan
4) lalu kasih toping parutan wortel
5) kukusan smpai berubah warna
6) nb : bila mau di goreng tdk perlu di kukus..
7) nb : boleh di tamabh udang segar dikupas kulitnya cincang kasar campur jd satu",4,https://cookpad.com/id/resep/4434257-somay-ayam-pangsit,ayam,9,"ayam , sagu tapioka kanji , wortel potong dadu , telur ayam kocok lepas , batang daun bawang halus , bawang bombai halus , saos tiram , minyak wijen , garam , penyedap",7
sapi goreng,300 gram daging sapi--2 lengkuas geprek--3 daun salam--3 daun jeruk purut--💮 bumbu halus--2 bawang merah--2 bawang putih--1 butir kemiri--1/2 sdt ketumbar--1 sdt garam--1/2 sdt kaldu sapi bubuk--1/2 sdt asam jawa--1/2 keping gula jawa--,"1) cuci bersih daging sapi lalu potong-potong, sisihkan.
2) uleg bumbu halus (pakai ulegan saja) setelah halus penyet-penyet potongan daging sapi satu-persatu sambil dilumuri bumbu dan di tata di panci presto (sisa bumbu halus bisa dipakai untuk marinasi daging setelah dipresto).
3) tambahkan lengkuas daun salam dan daun jeruk ke dalam panci presto. lalu tambahkan air kira-kira 400ml-600ml sampai daging tenggelam (sesuaikan dengan ukuran panci). rebus daging selama 20 menit.
4) setelah daging dipresto dan empuk, marinasi daging tersebut kedalam sisa bumbu halus. diamkan 30 menit agar daging meresap.
5) goreng sebentar agar daging matang dan kecoklatan. daging sapi goreng empuk disajikan dengan nasi hangat, sambel manis dan lalapan. nyuuuzz banget. selamat mencoba.",4,https://cookpad.com/id/resep/4030903-sapi-goreng-simpel-dan-enak,sapi,13,"daging sapi , lengkuas , daun salam , daun jeruk , bumbu halus , bawang merah , bawang putih , kemiri , ketumbar , garam , kaldu sapi bubuk , asam jawa , keping gula jawa",5
pindang udang gala,500 gr udang gala yg masih seger--1 tangkai daun bawang--1 ruas jari jahe--1 ruas jari kunyit--1 ruas jari laos--1 batang serai ambil putih nya saja--2 mata asam jawa--1 sdt kecap manis--1 sdt kecap asin--secukupnya terasi--garam/gula--bumbu yg di haluskan--8 siung bawang merah--2 siung bawang putih--2 buah cabai merah keriting--600 ml air--,"1) bersihkan udang buang kepala dan kotoran nyo lalu cuci sampai bersih
2) giling bawang merah bawang putih kunyit dan cabai sampai halus sisihkan
3) panaskan 500ml air,tunggu sampai mendidih lalu baru masukan udang dan bumbu yg sdah di haluskan tambahkan jahe laos serai yg sdah di geprek
4) lalu baru tambahkan gula garam asam jawa kecap manis dan asin terasih aduk2 tunggu sampai kuah agak berkurang dan udang matang terakhir baru masukan daun bawang yg sudah di potong2 tes rasa dan angkat, pindang udang siap di santap dengan nasi hangat dan sambal terasih mantap",4,https://cookpad.com/id/resep/4189022-pindang-udang-gala-%f0%9f%8d%a4,udang,16,"udang gala seger , tangkai daun bawang , jahe , kunyit , laos , serai ambil putih nya , mata asam jawa , kecap manis , kecap asin , terasi , garam gula , bumbu haluskan , bawang merah , bawang putih , cabai merah keriting , air",4
ikan tongkol sambal ijo,250 gr ikan tongkol--7 siung bawang merah--7 siung bawang putih--50 gr cabe rawit hijau--2 buah cabe hijau besar--secukupnya garam--secukupnya lada--minya goreng--,"1) haluskan bawang putih dan garam untuk membumbui ikan tongkol yang sudah dipoyong dan dibersihkan. goreng ikan tongkol hingga matang. setelah matang suir ikan tongkol, jangan terlalu kecil agar tekstur ikannya terasa.
2) haluskan bawang merah, bawang putih, cabe rawit hijau, dan cabe hijau besar tambhkan garam untuk memudahkan mengulak bumbu.
3) panasakan wajan, masukan 2 sdm minyak goreng. goreng bumbu hingga beraroma wangi, masukan ikan tongkol dan tambahkan sedikit air. tambahkan sedikit garam dan lada. masak hingga air agak menyusut dan bumbu meresap ke ikan tonggol.
4) angkat dan sajikan dengan nasi hangat.
5) selamat mencoba",4,https://cookpad.com/id/resep/4036549-ikan-tongkol-sambal-ijo,ikan,8,"ikan tongkol , bawang merah , bawang putih , cabe rawit hijau , cabe hijau , garam , lada , minyak goreng",5
tumis tongkol bunga pepaya,"1 pak tongkol irisan, cuci, tiriskan, suwir-suwir--1 gengam bunga pepaya--2 siung bawang putih, iris halus--3 siung bawang merah, iris halus--1 cabai merah besar, iris serong--7 cabai rawit, iris serong (sesuai selera, ya. ini dibikin pedas biar irit lauk, hehe)--1 cm lengkuas, memarkan--1 buah tomat, belah 6 bagian--2 sdm saus tiram--1 sdm kecap manis--secukupnya garam gula--150 ml air--","1) siapkan bahan-bahan
2) tumis bawang putih, bawang merah, cabai merah, cabai rawit, dan lengkuas dengan sedikit minyak sampai harum baunya. masukkan tongkol, aduk rata.
3) tambahkan bunga pepaya, saus tiram, kecap, garam, gula, dan air. aduk-aduk. koreksi rasanya. terakhir masukkan irisan tomat.
4) tumisan sudah siap. gurih, pedas, dan sedikit rasa pahit yang bikin nambah nasi terus",4,https://cookpad.com/id/resep/4036013-tumis-tongkol-bunga-pepaya,ikan,12,"tongkol irisan , tiriskan , suwir suwir , gengam bunga pepaya , bawang putih , halus , bawang merah , halus , cabai merah , serong , cabai rawit , serong , dibikin pedas biar irit lauk , hehe , lengkuas , memarkan , tomat , belah , saus tiram , kecap manis , garam gula , air",4
